index,noise_type,snr_db,original_index
102,burst,-20,915
103,gaussian,-15,27976
104,sp,-25,23073
105,sp,-20,37640
106,gaussian,-20,39678
107,gaussian,-30,19936
108,burst,-10,9904
109,sp,-15,9737
110,burst,-30,1152
111,burst,-10,30956
112,gaussian,-20,36335
113,gaussian,-10,39407
114,burst,-15,24823
115,sp,-25,37301
116,gaussian,-20,3616
117,burst,-25,13169
118,sp,-10,39945
119,sp,-20,39955
120,gaussian,-25,29426
121,gaussian,-15,20892
122,gaussian,-15,35559
123,burst,-10,47079
124,gaussian,-10,36302
125,sp,-25,4618
126,burst,-10,9073
127,sp,-10,47258
128,gaussian,-10,28812
129,gaussian,-10,34484
130,sp,-15,28207
131,gaussian,-10,29382
132,sp,-20,25866
133,burst,-15,48456
134,sp,-15,19522
135,burst,-25,45176
136,burst,-25,5839
137,sp,-10,4399
138,sp,-10,45314
139,burst,-20,5244
140,burst,-10,40950
141,sp,-20,16368
142,sp,-25,45917
143,burst,-20,37205
144,gaussian,-10,35547
145,gaussian,-30,7934
146,sp,-10,45633
147,burst,-15,16925
148,sp,-10,11497
149,gaussian,-30,41321
150,sp,-10,42399
151,sp,-20,30922
152,gaussian,-30,12934
153,burst,-20,12296
154,burst,-10,9058
155,sp,-25,24417
156,gaussian,-10,8795
157,sp,-10,25470
158,burst,-30,31038
159,burst,-25,22275
160,sp,-20,21621
161,gaussian,-10,39081
162,burst,-30,39911
163,burst,-10,27174
164,burst,-30,4656
165,sp,-15,13244
166,gaussian,-15,35376
167,gaussian,-25,30561
168,sp,-30,5094
169,burst,-20,29167
170,burst,-10,44926
171,sp,-20,48295
172,burst,-20,38085
173,gaussian,-30,3969
174,gaussian,-25,45799
175,sp,-30,49687
176,gaussian,-15,25619
177,sp,-20,42200
178,gaussian,-25,32277
179,burst,-10,9658
180,sp,-30,12556
181,gaussian,-15,35575
182,gaussian,-30,25569
183,sp,-30,33627
184,burst,-30,21449
185,burst,-10,7790
186,gaussian,-30,32219
187,gaussian,-30,22979
188,gaussian,-15,20539
189,gaussian,-25,42570
190,sp,-10,49359
191,gaussian,-20,24556
192,sp,-25,398
193,burst,-25,42410
194,sp,-15,12687
195,burst,-20,4247
196,sp,-30,21356
197,gaussian,-20,28026
198,sp,-10,39320
199,burst,-30,7050
200,burst,-25,34012
201,sp,-30,24416
202,gaussian,-15,46010
203,gaussian,-25,40726
204,burst,-25,10650
205,gaussian,-25,25610
206,gaussian,-20,8625
207,burst,-15,16427
208,burst,-25,18045
209,sp,-25,47617
210,sp,-15,25067
211,sp,-15,25880
212,gaussian,-30,18582
213,gaussian,-20,34515
214,sp,-25,18500
215,burst,-30,2056
216,burst,-20,45623
217,gaussian,-10,25097
218,gaussian,-25,5038
219,sp,-10,43847
220,gaussian,-15,41474
221,sp,-20,16044
222,burst,-20,754
223,burst,-25,39672
224,burst,-10,37541
225,sp,-30,5012
226,burst,-25,19312
227,burst,-30,23327
228,burst,-25,36813
229,burst,-20,21924
230,burst,-30,35729
231,gaussian,-20,25320
232,gaussian,-20,13058
233,gaussian,-20,44987
234,sp,-20,29398
235,gaussian,-15,4406
236,sp,-30,47676
237,sp,-10,29619
238,burst,-10,26344
239,sp,-20,11615
240,sp,-15,38886
241,burst,-25,19182
242,sp,-25,4528
243,gaussian,-10,22838
244,sp,-30,21059
245,sp,-20,19966
246,sp,-20,32434
247,burst,-20,18059
248,burst,-30,42886
249,burst,-15,29075
250,gaussian,-30,32492
251,burst,-10,12447
252,sp,-15,40194
253,sp,-30,39918
254,burst,-20,33689
255,sp,-10,40982
256,sp,-10,8177
257,burst,-15,32835
258,sp,-30,30355
259,gaussian,-30,22689
260,gaussian,-15,13959
261,gaussian,-25,13542
262,burst,-30,42619
263,burst,-15,32441
264,sp,-25,11154
265,burst,-20,18810
266,burst,-10,6299
267,burst,-30,49462
268,sp,-10,17848
269,gaussian,-15,43998
270,gaussian,-10,34429
271,burst,-20,12061
272,sp,-30,44798
273,gaussian,-10,4091
274,burst,-25,2253
275,sp,-30,36241
276,gaussian,-15,10464
277,gaussian,-30,32408
278,gaussian,-20,11938
279,gaussian,-10,261
280,burst,-15,21909
281,sp,-10,19877
282,gaussian,-15,27790
283,burst,-30,45997
284,burst,-20,16590
285,sp,-10,9060
286,gaussian,-30,1323
287,burst,-15,19303
288,sp,-20,37155
289,gaussian,-20,38704
290,gaussian,-20,19876
291,burst,-10,21018
292,sp,-30,39008
293,gaussian,-15,3080
294,burst,-10,38875
295,burst,-30,35090
296,gaussian,-25,44187
297,gaussian,-30,1306
298,burst,-10,17509
299,burst,-25,7824
300,burst,-25,9775
301,burst,-15,8021
302,burst,-15,32140
303,gaussian,-25,45085
304,gaussian,-25,45591
305,burst,-25,12827
306,sp,-15,40062
307,burst,-15,5940
308,sp,-20,4433
309,gaussian,-10,17709
310,sp,-10,2177
311,gaussian,-10,27196
312,burst,-30,22437
313,burst,-15,22074
314,burst,-30,11861
315,sp,-30,18860
316,burst,-20,26346
317,burst,-25,49814
318,gaussian,-20,26526
319,burst,-30,25934
320,sp,-15,7947
321,burst,-30,47499
322,sp,-20,15295
323,sp,-15,9149
324,burst,-30,17399
325,gaussian,-20,5694
326,sp,-25,20761
327,sp,-20,33129
328,sp,-15,48759
329,gaussian,-20,10330
330,burst,-25,12980
331,burst,-20,4434
332,sp,-30,25820
333,sp,-20,15235
334,gaussian,-15,26679
335,sp,-15,25914
336,burst,-10,40885
337,burst,-15,15515
338,burst,-20,33924
339,burst,-20,11656
340,gaussian,-25,10668
341,sp,-30,40891
342,gaussian,-25,46642
343,sp,-25,30199
344,sp,-10,34330
345,gaussian,-10,27009
346,gaussian,-15,497
347,gaussian,-25,39645
348,sp,-20,31195
349,sp,-25,11156
350,burst,-25,3960
351,sp,-25,26333
352,burst,-20,28329
353,gaussian,-10,48696
354,burst,-25,29842
355,gaussian,-25,4599
356,sp,-10,17577
357,sp,-20,37817
358,gaussian,-30,3474
359,gaussian,-20,43046
360,gaussian,-30,23873
361,burst,-10,46070
362,gaussian,-20,20367
363,sp,-20,41406
364,burst,-30,23776
365,burst,-15,18949
366,gaussian,-20,27744
367,gaussian,-30,27108
368,gaussian,-20,36300
369,sp,-30,15180
370,burst,-20,35382
371,burst,-25,49533
372,sp,-15,16731
373,sp,-25,48714
374,gaussian,-15,43348
375,sp,-25,6527
376,sp,-25,709
377,sp,-20,36954
378,burst,-30,2392
379,sp,-30,17504
380,gaussian,-25,30748
381,gaussian,-15,38257
382,gaussian,-10,17805
383,gaussian,-10,9365
384,sp,-25,42861
385,sp,-30,23983
386,gaussian,-25,34808
387,burst,-30,42777
388,burst,-30,30969
389,gaussian,-20,12464
390,gaussian,-30,10698
391,sp,-25,45229
392,burst,-25,32008
393,burst,-30,27469
394,sp,-30,9013
395,sp,-30,6233
396,gaussian,-30,19923
397,burst,-30,47021
398,gaussian,-30,48683
399,sp,-30,38
400,sp,-15,43590
401,burst,-25,41010
402,gaussian,-15,23082
403,burst,-20,24067
404,sp,-15,24234
405,gaussian,-15,19726
406,burst,-30,7585
407,sp,-25,34792
408,sp,-20,20115
409,gaussian,-15,488
410,burst,-30,12178
411,burst,-10,2520
412,burst,-10,650
413,sp,-30,25868
414,burst,-20,20732
415,sp,-15,32725
416,burst,-25,39655
417,gaussian,-15,17293
418,sp,-20,7993
419,gaussian,-20,10429
420,gaussian,-30,46040
421,burst,-30,46239
422,burst,-20,23244
423,burst,-30,9832
424,gaussian,-15,39880
425,sp,-10,29625
426,gaussian,-20,14323
427,burst,-25,9752
428,gaussian,-10,30232
429,burst,-10,48411
430,sp,-25,47460
431,gaussian,-10,14840
432,gaussian,-15,423
433,sp,-10,1035
434,sp,-10,22967
435,burst,-25,5502
436,gaussian,-30,806
437,gaussian,-30,40491
438,burst,-20,48988
439,gaussian,-20,36174
440,gaussian,-30,47137
441,gaussian,-25,48103
442,gaussian,-25,48119
443,sp,-25,31459
444,burst,-25,7765
445,gaussian,-10,34430
446,sp,-30,26902
447,sp,-10,322
448,sp,-15,36248
449,sp,-20,22950
450,gaussian,-10,25617
451,gaussian,-15,22785
452,sp,-10,22900
453,sp,-25,34360
454,burst,-10,45032
455,sp,-25,32420
456,burst,-15,12600
457,gaussian,-25,40585
458,sp,-30,34210
459,burst,-25,17271
460,burst,-30,39698
461,sp,-10,7546
462,burst,-30,31207
463,burst,-30,7975
464,gaussian,-20,44
465,sp,-10,21897
466,burst,-15,38434
467,burst,-15,48999
468,burst,-30,16405
469,burst,-15,38506
470,gaussian,-20,41839
471,gaussian,-15,34861
472,sp,-25,32850
473,gaussian,-20,27845
474,sp,-10,15891
475,burst,-10,47809
476,gaussian,-10,31288
477,gaussian,-30,26598
478,gaussian,-15,7362
479,gaussian,-30,21234
480,burst,-25,9822
481,sp,-10,28102
482,sp,-10,6079
483,gaussian,-20,10323
484,sp,-20,26698
485,burst,-25,39152
486,gaussian,-30,25294
487,gaussian,-10,40474
488,burst,-25,44477
489,gaussian,-25,9627
490,burst,-25,19975
491,burst,-15,1035
492,burst,-10,12119
493,burst,-30,35870
494,burst,-30,42906
495,gaussian,-30,41195
496,burst,-15,30204
497,burst,-30,12648
498,gaussian,-25,39340
499,burst,-10,25409
500,burst,-20,27278
501,burst,-15,6274
502,burst,-15,30280
503,burst,-20,39197
504,burst,-30,4030
505,gaussian,-30,13524
506,sp,-15,38136
507,burst,-10,7655
508,burst,-20,5728
509,gaussian,-30,18196
510,burst,-10,7488
511,gaussian,-15,19488
512,sp,-15,46506
513,sp,-30,48866
514,burst,-20,43565
515,sp,-30,40528
516,gaussian,-25,49237
517,sp,-10,3921
518,sp,-20,15591
519,sp,-15,39132
520,sp,-15,9047
521,sp,-15,32874
522,sp,-30,19994
523,burst,-30,36395
524,sp,-25,49398
525,gaussian,-30,17394
526,sp,-25,27586
527,sp,-20,34463
528,sp,-20,10145
529,sp,-20,41736
530,sp,-10,38814
531,sp,-10,44807
532,gaussian,-15,13226
533,sp,-25,32657
534,sp,-30,30196
535,burst,-30,35393
536,sp,-25,38063
537,burst,-30,46919
538,burst,-25,16231
539,gaussian,-10,39843
540,burst,-20,14355
541,gaussian,-30,92
542,gaussian,-15,40998
543,gaussian,-10,35262
544,gaussian,-30,10537
545,gaussian,-30,41155
546,gaussian,-20,28441
547,sp,-20,21653
548,gaussian,-20,31083
549,sp,-20,38704
550,burst,-30,36411
551,gaussian,-25,38370
552,sp,-20,34611
553,burst,-10,38798
554,gaussian,-30,5454
555,burst,-25,13016
556,burst,-25,14582
557,burst,-15,37897
558,gaussian,-15,3610
559,gaussian,-30,15659
560,gaussian,-10,40854
561,gaussian,-10,38009
562,sp,-30,40799
563,gaussian,-30,44012
564,sp,-10,43500
565,sp,-25,34108
566,gaussian,-20,7976
567,gaussian,-20,38200
568,sp,-15,41263
569,sp,-25,36276
570,gaussian,-10,24036
571,burst,-30,47210
572,gaussian,-15,8457
573,gaussian,-20,39126
574,burst,-10,19786
575,gaussian,-25,2890
576,sp,-15,37317
577,gaussian,-25,21843
578,gaussian,-20,895
579,burst,-30,26706
580,burst,-15,49904
581,burst,-30,13847
582,burst,-30,40465
583,gaussian,-20,31104
584,burst,-20,14337
585,sp,-10,23925
586,sp,-20,42329
587,burst,-20,6733
588,sp,-30,13857
589,gaussian,-25,14125
590,sp,-20,32316
591,sp,-30,13312
592,burst,-10,28366
593,gaussian,-20,18640
594,gaussian,-15,32141
595,gaussian,-25,5311
596,gaussian,-10,43525
597,burst,-10,14577
598,sp,-20,16812
599,sp,-20,31846
600,sp,-15,22930
601,sp,-30,24052
602,sp,-20,18448
603,burst,-25,20813
604,burst,-20,47936
605,burst,-20,22485
606,gaussian,-15,26368
607,gaussian,-10,31971
608,burst,-15,3834
609,sp,-15,7269
610,burst,-25,4912
611,sp,-25,22775
612,gaussian,-30,10224
613,burst,-30,9055
614,gaussian,-15,29895
615,sp,-30,42620
616,gaussian,-15,36957
617,burst,-30,6855
618,gaussian,-15,13543
619,gaussian,-15,15349
620,sp,-30,19241
621,burst,-10,46868
622,gaussian,-20,18220
623,sp,-20,4925
624,sp,-10,2945
625,burst,-15,30773
626,burst,-30,34648
627,gaussian,-20,43472
628,gaussian,-20,17605
629,burst,-10,7928
630,gaussian,-30,42749
631,sp,-10,37776
632,sp,-15,39353
633,sp,-20,46459
634,burst,-30,47674
635,sp,-15,35920
636,sp,-20,2118
637,sp,-30,22670
638,gaussian,-30,15335
639,gaussian,-30,3365
640,gaussian,-20,12946
641,gaussian,-20,56
642,burst,-30,43316
643,sp,-25,14193
644,gaussian,-30,413
645,gaussian,-20,3490
646,burst,-15,33873
647,gaussian,-10,3627
648,sp,-25,28163
649,sp,-25,9251
650,gaussian,-25,19877
651,burst,-30,8914
652,burst,-10,16094
653,burst,-20,27371
654,sp,-25,24593
655,sp,-25,41572
656,sp,-25,2794
657,gaussian,-10,49378
658,gaussian,-10,13004
659,gaussian,-30,22177
660,sp,-25,2961
661,burst,-30,42014
662,burst,-10,7101
663,sp,-25,2202
664,sp,-10,31937
665,burst,-10,31985
666,gaussian,-20,10083
667,sp,-25,4128
668,gaussian,-15,1392
669,burst,-20,41582
670,sp,-15,29311
671,burst,-25,25846
672,sp,-20,2416
673,sp,-10,49411
674,gaussian,-30,21468
675,sp,-20,37973
676,gaussian,-15,43861
677,sp,-15,8969
678,gaussian,-15,22314
679,gaussian,-25,12973
680,burst,-20,11822
681,sp,-30,44176
682,gaussian,-25,32484
683,burst,-10,34145
684,gaussian,-15,23526
685,sp,-15,48541
686,gaussian,-15,8627
687,sp,-25,14182
688,sp,-10,24674
689,gaussian,-25,26906
690,gaussian,-30,12342
691,sp,-30,15313
692,gaussian,-15,48290
693,burst,-10,7521
694,sp,-15,47535
695,burst,-30,26188
696,burst,-15,7817
697,sp,-25,14568
698,gaussian,-15,40767
699,sp,-10,41581
700,sp,-20,28949
701,gaussian,-20,716
702,burst,-20,20807
703,sp,-30,7608
704,burst,-30,10357
705,gaussian,-10,6233
706,burst,-25,26869
707,burst,-15,33433
708,sp,-10,47351
709,sp,-25,21150
710,gaussian,-30,39815
711,gaussian,-20,14485
712,sp,-30,40169
713,gaussian,-15,11376
714,burst,-20,40653
715,sp,-10,31487
716,burst,-10,17510
717,gaussian,-10,48
718,burst,-30,38774
719,gaussian,-10,252
720,gaussian,-20,6289
721,burst,-25,37692
722,burst,-25,24817
723,sp,-30,46759
724,burst,-10,40748
725,gaussian,-10,13016
726,sp,-30,20896
727,gaussian,-20,21402
728,gaussian,-10,47869
729,gaussian,-25,6732
730,burst,-10,21147
731,gaussian,-25,22034
732,burst,-20,28187
733,sp,-15,44218
734,sp,-15,33393
735,burst,-30,33050
736,sp,-25,1679
737,burst,-25,42594
738,burst,-25,42930
739,sp,-10,8814
740,gaussian,-25,20196
741,sp,-30,11510
742,gaussian,-25,658
743,gaussian,-25,8928
744,burst,-25,11194
745,gaussian,-10,2909
746,gaussian,-15,10868
747,burst,-30,22293
748,sp,-30,10681
749,gaussian,-15,30666
750,burst,-25,40370
751,gaussian,-10,8759
752,gaussian,-10,26920
753,burst,-30,14134
754,gaussian,-25,6158
755,burst,-30,2754
756,burst,-20,24315
757,gaussian,-30,40287
758,sp,-25,25939
759,sp,-20,16113
760,sp,-15,42606
761,gaussian,-30,9769
762,sp,-10,18206
763,sp,-15,39558
764,sp,-10,16395
765,sp,-10,7069
766,gaussian,-10,20615
767,burst,-10,14654
768,sp,-20,27092
769,gaussian,-20,23072
770,gaussian,-30,27940
771,gaussian,-25,27717
772,gaussian,-25,49251
773,burst,-20,16093
774,burst,-15,22689
775,burst,-30,3807
776,sp,-20,27085
777,burst,-10,36149
778,gaussian,-15,13618
779,burst,-15,38024
780,sp,-25,14142
781,sp,-15,17269
782,sp,-30,8648
783,sp,-30,14855
784,sp,-25,9148
785,gaussian,-20,1025
786,burst,-30,28912
787,sp,-10,13246
788,sp,-25,35486
789,sp,-10,14173
790,burst,-20,26128
791,sp,-15,27156
792,sp,-25,14628
793,sp,-25,11590
794,burst,-15,15541
795,sp,-10,24190
796,burst,-15,20414
797,gaussian,-15,23388
798,burst,-30,7698
799,gaussian,-30,40563
800,gaussian,-20,40332
801,sp,-15,38699
802,sp,-25,15607
803,burst,-25,22535
804,sp,-30,37583
805,gaussian,-10,42916
806,gaussian,-20,46443
807,sp,-25,31627
808,burst,-15,44298
809,sp,-10,5025
810,gaussian,-30,37411
811,sp,-10,17886
812,gaussian,-30,3682
813,gaussian,-15,48439
814,sp,-30,44748
815,gaussian,-10,42229
816,sp,-10,35927
817,gaussian,-20,17047
818,sp,-25,46789
819,gaussian,-15,47734
820,burst,-10,26899
821,sp,-20,20847
822,gaussian,-20,24098
823,sp,-15,24891
824,burst,-30,5839
825,sp,-10,38682
826,sp,-20,4948
827,burst,-10,14616
828,sp,-15,2610
829,gaussian,-20,261
830,burst,-15,10249
831,sp,-30,1806
832,sp,-20,7664
833,gaussian,-30,36774
834,burst,-10,2354
835,gaussian,-20,6247
836,burst,-15,502
837,burst,-15,43844
838,gaussian,-10,41669
839,gaussian,-20,49049
840,burst,-20,13782
841,sp,-20,13533
842,sp,-20,20731
843,gaussian,-10,19902
844,burst,-10,27543
845,gaussian,-25,15587
846,gaussian,-15,13773
847,gaussian,-10,44890
848,gaussian,-30,39977
849,gaussian,-20,20602
850,burst,-25,48991
851,burst,-30,10927
852,gaussian,-15,13094
853,burst,-30,12540
854,burst,-30,21368
855,gaussian,-10,10775
856,gaussian,-10,44046
857,sp,-20,44353
858,burst,-15,47050
859,sp,-30,34341
860,gaussian,-25,20699
861,sp,-25,30568
862,gaussian,-15,49029
863,gaussian,-30,17402
864,sp,-25,35380
865,gaussian,-20,32974
866,burst,-25,44264
867,gaussian,-25,14389
868,sp,-20,39340
869,gaussian,-20,29844
870,gaussian,-15,26623
871,gaussian,-25,36846
872,burst,-25,24229
873,sp,-20,10299
874,gaussian,-20,2323
875,burst,-20,22181
876,gaussian,-15,41962
877,sp,-10,1932
878,sp,-20,8022
879,gaussian,-30,26642
880,gaussian,-25,23221
881,sp,-30,3613
882,sp,-25,49620
883,gaussian,-25,16335
884,sp,-15,34057
885,burst,-25,429
886,burst,-20,45581
887,sp,-20,40608
888,burst,-25,9671
889,gaussian,-10,18697
890,sp,-25,41690
891,burst,-15,38087
892,gaussian,-20,23569
893,burst,-15,29199
894,gaussian,-20,27143
895,burst,-10,3788
896,gaussian,-10,10944
897,burst,-30,19022
898,burst,-30,23351
899,gaussian,-15,34066
900,burst,-20,40729
901,sp,-10,1922
902,gaussian,-20,41429
903,gaussian,-15,13825
904,burst,-30,15950
905,sp,-20,21592
906,sp,-10,2582
907,gaussian,-25,44712
908,sp,-20,42594
909,burst,-10,19282
910,burst,-15,25626
911,burst,-30,11445
912,burst,-25,27842
913,burst,-30,12965
914,gaussian,-30,27724
915,gaussian,-15,14783
916,sp,-15,4046
917,sp,-10,3832
918,burst,-15,12511
919,sp,-25,29162
920,sp,-10,800
921,burst,-25,21136
922,burst,-15,35722
923,sp,-15,36331
924,gaussian,-20,28405
925,gaussian,-15,27646
926,burst,-30,36515
927,gaussian,-30,41905
928,burst,-20,24099
929,gaussian,-15,44469
930,gaussian,-15,38308
931,gaussian,-10,47069
932,burst,-15,28841
933,sp,-25,48467
934,gaussian,-25,14679
935,gaussian,-25,35056
936,sp,-20,17709
937,gaussian,-25,33773
938,sp,-30,13930
939,burst,-15,45234
940,burst,-30,35673
941,gaussian,-10,16205
942,sp,-10,3141
943,sp,-25,39465
944,sp,-20,34097
945,burst,-20,7184
946,burst,-20,25116
947,gaussian,-25,10515
948,gaussian,-10,47421
949,burst,-20,8942
950,sp,-15,5328
951,gaussian,-20,15610
952,sp,-25,36082
953,gaussian,-10,20291
954,burst,-10,22183
955,sp,-10,17924
956,gaussian,-20,15616
957,sp,-25,17462
958,burst,-10,6077
959,sp,-20,19731
960,burst,-25,48918
961,sp,-20,40452
962,sp,-10,744
963,sp,-20,31975
964,gaussian,-10,9368
965,burst,-25,33837
966,burst,-20,24510
967,burst,-30,24097
968,gaussian,-15,37563
969,sp,-10,42206
970,sp,-25,30938
971,burst,-10,8045
972,sp,-15,36884
973,gaussian,-30,36344
974,gaussian,-20,15369
975,burst,-30,8014
976,burst,-25,22727
977,gaussian,-20,10459
978,gaussian,-10,21983
979,sp,-10,41026
980,gaussian,-20,22532
981,gaussian,-15,35273
982,burst,-10,19705
983,burst,-15,42649
984,sp,-20,21766
985,gaussian,-25,25869
986,gaussian,-30,17252
987,burst,-15,25211
988,gaussian,-20,41368
989,burst,-30,3421
990,gaussian,-15,13986
991,sp,-30,9295
992,gaussian,-25,44077
993,gaussian,-25,46496
994,burst,-20,31651
995,sp,-20,29842
996,sp,-10,43392
997,gaussian,-25,20607
998,gaussian,-15,3961
999,gaussian,-25,40862
1000,sp,-10,44878
1001,sp,-25,40419
1002,burst,-30,1669
1003,gaussian,-15,46913
1004,gaussian,-25,17497
1005,burst,-25,16554
1006,gaussian,-15,31934
1007,sp,-20,29077
1008,burst,-30,45623
1009,sp,-20,40654
1010,gaussian,-20,32923
1011,sp,-25,30551
1012,gaussian,-20,23191
1013,sp,-25,46626
1014,gaussian,-15,41950
1015,gaussian,-30,2272
1016,sp,-10,19022
1017,gaussian,-20,23321
1018,gaussian,-10,17447
1019,gaussian,-10,35563
1020,sp,-25,35446
1021,sp,-20,21278
1022,sp,-15,10871
1023,sp,-20,40795
1024,gaussian,-20,26485
1025,gaussian,-20,20986
1026,burst,-25,6512
1027,gaussian,-10,38927
1028,gaussian,-15,22498
1029,burst,-25,49492
1030,burst,-10,45569
1031,burst,-20,27905
1032,burst,-10,8092
1033,burst,-10,11124
1034,burst,-30,14884
1035,burst,-10,48998
1036,gaussian,-20,15180
1037,sp,-25,2777
1038,sp,-15,22001
1039,sp,-10,42210
1040,gaussian,-25,47725
1041,sp,-10,44433
1042,sp,-30,40792
1043,burst,-15,47760
1044,gaussian,-20,3539
1045,sp,-15,29691
1046,sp,-30,34788
1047,burst,-20,48197
1048,sp,-25,28251
1049,gaussian,-20,22634
1050,burst,-25,12883
1051,burst,-20,36271
1052,sp,-10,6272
1053,sp,-10,27507
1054,burst,-10,30774
1055,gaussian,-30,40255
1056,gaussian,-15,36599
1057,gaussian,-10,45262
1058,burst,-25,15467
1059,gaussian,-20,37669
1060,burst,-25,21943
1061,burst,-20,37423
1062,burst,-15,7850
1063,gaussian,-30,4269
1064,sp,-30,33229
1065,gaussian,-25,11508
1066,gaussian,-10,13553
1067,sp,-10,47018
1068,burst,-25,13617
1069,gaussian,-10,28836
1070,gaussian,-25,35449
1071,burst,-10,17262
1072,burst,-15,26097
1073,burst,-25,39485
1074,sp,-20,41695
1075,gaussian,-30,22348
1076,gaussian,-20,31764
1077,gaussian,-25,25485
1078,gaussian,-25,47339
1079,sp,-10,7937
1080,burst,-20,38013
1081,burst,-20,170
1082,sp,-20,22399
1083,burst,-15,9385
1084,burst,-15,49739
1085,sp,-30,42177
1086,burst,-25,29718
1087,gaussian,-25,49482
1088,burst,-20,23280
1089,gaussian,-10,24189
1090,sp,-10,2896
1091,burst,-15,38633
1092,burst,-30,14019
1093,sp,-30,31155
1094,gaussian,-15,41995
1095,gaussian,-15,18972
1096,burst,-25,2516
1097,gaussian,-30,32763
1098,sp,-25,13734
1099,sp,-25,32068
1100,burst,-20,48818
1101,sp,-30,177
1102,sp,-10,28478
1103,gaussian,-20,29398
1104,sp,-10,31054
1105,burst,-10,5670
1106,burst,-30,18200
1107,gaussian,-15,9520
1108,gaussian,-20,32865
1109,sp,-25,20053
1110,burst,-20,32899
1111,sp,-15,34960
1112,burst,-15,22116
1113,gaussian,-10,27825
1114,gaussian,-30,48990
1115,gaussian,-25,11134
1116,burst,-10,23181
1117,sp,-25,28970
1118,burst,-10,12990
1119,sp,-20,4306
1120,gaussian,-20,47008
1121,sp,-20,42197
1122,burst,-30,48543
1123,sp,-15,31571
1124,sp,-10,40226
1125,sp,-15,14881
1126,gaussian,-15,22053
1127,burst,-20,4844
1128,burst,-10,19772
1129,gaussian,-25,4891
1130,burst,-25,21631
1131,gaussian,-20,43710
1132,burst,-30,27716
1133,burst,-25,9038
1134,gaussian,-10,15899
1135,burst,-20,39825
1136,burst,-25,29392
1137,gaussian,-10,12649
1138,burst,-25,23890
1139,gaussian,-10,30861
1140,sp,-15,11261
1141,burst,-25,33194
1142,gaussian,-20,1547
1143,gaussian,-30,40609
1144,gaussian,-20,25953
1145,sp,-25,38096
1146,gaussian,-25,41073
1147,gaussian,-25,7183
1148,gaussian,-30,24936
1149,sp,-30,22581
1150,gaussian,-15,28485
1151,gaussian,-30,29457
1152,burst,-20,39559
1153,sp,-30,6458
1154,burst,-25,39227
1155,sp,-30,16152
1156,burst,-30,5288
1157,burst,-15,31589
1158,gaussian,-30,41306
1159,gaussian,-15,16747
1160,burst,-15,39674
1161,burst,-15,8742
1162,burst,-25,37253
1163,burst,-30,32279
1164,sp,-10,14224
1165,sp,-15,24819
1166,burst,-20,34799
1167,gaussian,-20,1895
1168,gaussian,-30,35782
1169,gaussian,-10,23638
1170,gaussian,-25,32181
1171,gaussian,-15,38700
1172,gaussian,-10,45532
1173,gaussian,-10,2305
1174,sp,-15,32452
1175,sp,-30,14452
1176,sp,-10,6433
1177,gaussian,-30,3527
1178,sp,-10,42244
1179,sp,-15,46930
1180,sp,-30,39247
